Unnamed: 0,번호,제목,저자,출판사,출판일
,80,Mode of action based risk assessment of the botanical food-borne alkenylbenzene apiol from parsley using physiologically based kinetic (PBK) modelling and read-across from safrole,"Alajlouni, A. M.; Al_Malahmeh, A. J.; Kiwamoto, R.; Wesseling, S.; Soffers, A. E.; Al-Subeihi, A. A.; Vervoort, J.; Rietjens, I. M.","Elsevier Science B.V., Amsterdam.",2016
,81,Measuring consumers attitudes towards health and taste and their association with food-related life-styles and preferences,"Saba, A.; Sinesio, F.; Moneta, E.; Dinnella, C.; Laureati, M.; Torri, L.; Peparaio, M.; Saggia Civitelli, E.; Endrizzi, I.; Gasperi, F.; Bendini, A.; Gallina Toschi, T.; Predieri, S.; Abbà, S.; Bailetti, L.; Proserpio, C.; Spinelli, S.","Elsevier Science B.V., Amsterdam.",2019
,82,"Survey of formaldehyde, acetaldehyde and oligomers in polyethylene terephthalate food-packaging materials","Mutsuga, M.; Tojima, T.; Kawamura, Y.; Tanamoto, K.",TAYLOR & FRANCIS,2005
,83,"Fabrication, characterization and lipase digestibility of food-grade nanoemulsions","Troncoso, E.; Aguilera, J. M.; McClements, D. J.","Elsevier Science B.V., Amsterdam.",2012
,84,Use of overall migration methodology to test for food-contact substances with specific migration limits,"Bradley, E. L.; Castle, L.; Jickells, S. M.; Mountfort, K. A.; Read, W. A.",Taylor & Francis,2009
,85,Thermal Processing of Foods: Principles and Applications,"Marks, B. P.",MARCEL DEKKER AG,2006
,86,"The effectiveness of food-borne diseases training among clinicians in Guangdong, China","Huang, Q.; Wang, X.; Lu, L.; Deng, X.; Chen, Z.; Liang, J.; Li, J.; Huang, X.; Zhang, Y.; Yang, X.","Elsevier Science B.V., Amsterdam.",2013
,87,Inactivation of food-related microorganisms in liquid environment by pulsed xenon flash light treatment system,"Ogihara, H.; Morimura, K.; Uruga, H.; Miyamae, T.; Kogure, M.; Furukawa, S.","Elsevier Science B.V., Amsterdam.",2013
,88,Comparative antibacterial mode of action of purified alcalase- and tryptic-hydrolyzed palm kernel cake proteins on the food-borne pathogen Bacillus cereus,"Tan, Y. N.; Matthews, K. R.; Di, R.; Ayob, M. K.","Elsevier Science B.V., Amsterdam.",2013
,89,HPTLC Screening of Folic Acid in Food: In Situ Derivatization with Ozone-Induced Fluorescence,"Wang, Ping; Chen, Yisheng; Xu, Xueming; Hellmann, Bernhard; Huang, Caihong; Bai, Yuxiang; Jin, Zhengyu",Springer Nature,2018
,90,Understanding factors underlying actual consumption of organic food: The moderating effect of future orientation,"Chekima, Brahim; Chekima, Khadidja; Chekima, Khalifa","Elsevier Science B.V., Amsterdam.",2019
,91,Eating edible insects as sustainable food? Exploring the determinants of consumer acceptance in Germany,"Orsi, Luigi; Voege, Lara Louisa; Stranieri, Stefanella","Elsevier Science B.V., Amsterdam.",2019
,92,Ultraviolet processing of liquid food: A review. Part 1: Fundamental engineering aspects,"Falguera, V.; Pagan, J.; Garza, S.; Garvin, A.; Ibarz, A.","Elsevier Science B.V., Amsterdam.",2011
,93,Malnutrition in food-surplus areas: Experience from nutritional surveillance for decentralized planning in Haiti,"Mulder-Sibanda, M.; Sibanda-Mulder, F. S.; d Alois, L.; Verna, D.",UNITED NATIONS UNIVERSITY PRESS,2002
,94,"From diets to foods: Using linear programming to formulate a nutritious, minimum-cost porridge mix for children aged 1 to 2 years",Irene Stuart Torrié De Carvalho; Yvonne Granfeldt; Petr Dejmek; Andreas Håkansson,United Nations University,2015
,95,Determination of histamine and biogenic amines in fish cubes (Tetrapturus angustirostris) implicated in a food-borne poisoning,"Chen, H. C.; Huang, Y. R.; Hsu, H. H.; Lin, C. S.; Chen, W. C.; Lin, C. M.; Tsai, Y. H.","Elsevier Science B.V., Amsterdam.",2010
,96,The effect of copper from water and food: changes of serum nonceruloplasmin copper and brain's amyloid-beta in mice,"Wu, M.; Han, F.; Gong, W.; Feng, L.; Han, J.",Royal Society of Chemistry,2016
,97,Snack Foods: Dream Cookies are functional yet tasty,unknown,NATIONAL PUBLISHING PTY LTD,2008
,98,Antimicrobial effect of PEG–PLA on food-spoilage microorganisms,"Sahan, Y.; Gurbuz, O.; Goncagul, G.; Kara, A.; Ozakin, C.",Springer Science + Business Media,2017
,99,Biofilm formation of Bacillus cereus under food-processing-related conditions,"Kwon, M.; Hussain, M. S.; Oh, D. H.",Springer Science + Business Media,2017
,100,Mindfulness and willingness to try insects as food: The role of disgust,"Chan, Eugene Y.","Elsevier Science B.V., Amsterdam.",2019
,1,"Neuroactive compounds in foods: Occurrence, mechanism and potential health effects","Yılmaz, Cemile; Gökmen, Vural","Elsevier Science B.V., Amsterdam.",2020
,2,Safety assessment of food-contact paper and board using a battery of short-term toxicity tests: European union BIOSAFEPAPER project,"Severin, I.; Dahbi, L.; Lhuguenot, J.-C.; Andersson, M. A.; Hoornstra, D.; Salkinoja-Salonen, M.; Turco, L.; Zucco, F.; Stammati, A.; Dahlman, O.",TAYLOR & FRANCIS,2005
,3,Relative importance of price in forming individuals’ decisions toward sustainable food: A calibrated auction-conjoint experiment,Jessica Avitia; Montserrat Costa-Font; José M. Gil; Jayson L. Lusk,Longman Scientific & Technical,2015
,4,Effect-based and chemical analysis of polycyclic aromatic hydrocarbons in smoked meat: a practical food-monitoring approach,"Kuhn, K.; Nowak, B.; Behnke, A.; Seidel, A.; Lampen, A.",Taylor & Francis,2009
,5,"Bacteriocin-producing lactic acid bacteria isolated from mangrove forests in southern Thailand as potential bio-control agents in food: Isolation, screening and optimization","Hwanhlem, N.; Chobert, J. M.; H-Kittikun, A.","Elsevier Science B.V., Amsterdam.",2014
,6,Willingness of Iranian young adults to eat organic foods: Application of the Health Belief Model,Masoud Yazdanpanah; Masoumeh Forouzani; Mohammad Hojjati,Longman Scientific & Technical,2015
,7,"Toxicology, occurrence and risk characterisation of the chloropropanols in food: 2-Monochloro-1,3-propanediol, 1,3-dichloro-2-propanol and 2,3-dichloro-1-propanol","Andres, S.; Appel, K. E.; Lampen, A.","Elsevier Science B.V., Amsterdam.",2013
,8,Examining heterogeneity in elderly consumers’ acceptance of carriers for protein-enriched food: A segmentation study,Lotte D.T. van der Zanden; Ellen van Kleef; René A. de Wijk; Hans C.M. van Trijp,Longman Scientific & Technical,2015
,9,Migration modelling from food-contact plastics into foodstuffs as a new tool for consumer exposure estimation,"Franz, R.",TAYLOR & FRANCIS,2005
,10,"Deconjugation of N-glucuronide conjugated metabolites with hydrazine hydrate - Biomarkers for exposure to the food-borne carcinogen 2-amino-1-methyl-6-phenylimidazo[4,5-b]pyridine (PhIP)","Frandsen, H.","Elsevier Science B.V., Amsterdam.",2007
,11,Active and intelligent packaging for food: Is it the future?,"De Jong, A. R.; Boumans, H.; Slaghek, T.; Van Veen, J.; Rijk, R.; Van Zandvoort, M.",TAYLOR & FRANCIS,2005
,12,Nonthermal Plasma Inactivation of Food-Borne Pathogens,"Misra, N. N.; Tiwari, B. K.; Raghavarao, K. S.; Cullen, P. J.",Springer Science + Business Media,2011
,13,Approaches to the risk assessment of genotoxic carcinogens in food: A critical appraisal,"O'Brien, J.; Renwick, A. G.; Constable, A.; Dybing, E.; Muller, D. J.; Schlatter, J.; Slob, W.; Tueting, W.; van Benthem, J.; Williams, G. M.","Elsevier Science B.V., Amsterdam.",2006
,14,Understanding leaf membrane protein extraction to develop a food-grade process,"Tamayo Tenorio, Angelica; Boom, Remko M.; van der Goot, Atze Jan","Elsevier Science B.V., Amsterdam.",2017
,15,Potential impact of biopolymers (ε-polylysine and/or pectin) on gastrointestinal fate of foods: In vitro study,"Lopez-Pena, Cynthia Lyliam; Song, Mingyue; Xiao, Hang; Decker, Eric Andrew; McClements, David Julian","Elsevier Science B.V., Amsterdam.",2015
,16,Visual attention toward food-item images can vary as a function of background saliency and culture: An eye-tracking study,Baoyue Zhang; Han-Seok Seo,Longman Scientific & Technical,2015
,17,Consumption of highly processed foods: Effects on bioavailability and status of zinc and copper in adolescents,"Mesias, M.; Seiquer, I.; Navarro, M. P.","Elsevier Science B.V., Amsterdam.",2012
,18,G M foods: time for a debate,unknown,WILLIAM REED PUBLISHING,2007
,19,4-Nonylphenol (NP) in food-contact materials: Analytical methodology and occurrence,"Fernandes, A. R.; Rose, M.; Charlton, C.",Taylor & Francis,2008
,20,Phthalates and food-contact materials: enforcing the 2008 European Union plastics legislation,"Petersen, J. H.; Jensen, L. K.",Taylor & Francis,2010
,21,Food-grade Pickering stabilizers obtained from a protein-rich lupin cultivar (AluProt-CGNA®): Chemical characterization and emulsifying properties,"Burgos-Díaz, César; Wandersleben, Traudy; Olivos, Marcos; Lichtin, Nicole; Bustamante, Mariela; Solans, Conxita","Elsevier Science B.V., Amsterdam.",2019
,22,Proteomics based approach for edible insect fingerprinting in novel food: Differential efficiency according to selected model species,"Francis, F.; Mazzucchelli, G.; Baiwir, D.; Debode, F.; Berben, G.; Caparros Megido, R.","Elsevier Science B.V., Amsterdam.",2020
,23,Simultaneous determination of food-related biogenic amines and precursor amino acids by micellar electrokinetic capillary chromatography with electrochemical detection,"Wang, Q.; Yu, H.; Li, H.; Ding, F.; He, P.; Fang, Y.","Elsevier Science B.V., Amsterdam.",2003
,24,Women's access to food-processing technology at the household level is associated with improved diets at the pre-harvest lean season in The Gambia,"Silva-Barbeau, I.; Hull, S. G.; Prehm, M. S.; Barbeau, W. E.",UNITED NATIONS UNIVERSITY PRESS,2005
,25,Interlaboratory Proficiency Test Using MALDI-TOF MS for Identification of Food-Associated Bacteria,"Huber, I.; Pavlovic, M.; Maggipinto, M.; Konrad, R.; Busch, U.",Springer Science + Business Media,2018
,26,Synergetic activity of nisin with cell-free supernatant of Bacillus licheniformis ZJU12 against food-borne bacteria,"He, L.; Chen, W.","Elsevier Science B.V., Amsterdam.",2006
,27,"Prevention of malnutrition among young children in rural Bangladesh by a food-health-care educational intervention: A randomized, controlled trial","Roy, S.K.; Jolly, S.P.; Shafique, S.; Fuchs, G.J.; Mahmud, Z.; Chakraborty, B.; Roy, S.",UNITED NATIONS UNIVERSITY PRESS,2007
,28,Impact of sol-gel transition on the ultrasonic properties of complex model foods: Application to agar/gelatin gels and emulsion filled gels,"Mantelet, Mathieu; Panouillé, Maud; Boué, François; Bosc, Véronique; Restagno, Frédéric; Souchon, Isabelle; Mathieu, Vincent","Elsevier Science B.V., Amsterdam.",2019
,29,Food: the chemistry of its components,"Li‐Chan, Eunice C. Y.",Wiley-Blackwell,2017
,30,Food-related transglutaminase obtained from fish/shellfish,Yi Zhang ; Benjamin K. Simpson,CRC Press,2020
,31,"Commentary regarding ""neuroactive compounds in foods: Occurrence, mechanism and potential health effects""","Bakalov, Dimitar; Sabit, Zafer; Tafradjiiska-Hadjiolova, Radka","Elsevier Science B.V., Amsterdam.",2020
,32,"Botanical characteristics, phytochemistry and related biological activities of Rosa roxburghii Tratt fruit, and its potential use in functional foods: a review","Wang, Li-Tao; Lv, Mu-Jie; An, Juan-Yan; Fan, Xiao-Hong; Dong, Ming-Zhu; Zhang, Sun-Dong; Wang, Jian-Dong; Wang, Yan-Qiu; Cai, Zi-Hui; Fu, Yu-Jie",Royal Society of Chemistry,2021
,33,Duckweed as human food. The influence of meal context and information on duckweed acceptability of Dutch consumers,"de Beukelaar, Myrthe F.A.; Zeinstra, Gertrude G.; Mes, Jurriaan J.; Fischer, Arnout R.H.","Elsevier Science B.V., Amsterdam.",2019
,34,New Insights to Detect Irradiated Food: an Overview,"Zanardi, Emanuela; Caligiani, Augusta; Novelli, Enrico",Springer Nature,2017
,35,Assessment of antibacterial activity of fractions from burdock leaf against food-related bacteria,"Lou, Z.; Wang, H.; Lv, W.; Ma, C.; Wang, Z.; Chen, S.","Elsevier Science B.V., Amsterdam.",2010
,36,Radiolysis products and sensory properties of electron-beam-irradiated high-barrier food-packaging films containing a buried layer of recycled low-density polyethylene,"Chytiri, S. D.; Badeka, A. V.; Riganakos, K. A.; Kontominas, M. G.",Taylor & Francis,2010
,37,Evaluating the risk to humans from mineral oils in foods: Current state of the evidence,"Bevan, R.; Harrison, P.T.C.; Jeffery, B.; Mitchell, D.","Elsevier Science B.V., Amsterdam.",2020
,38,Lecithin: natural emulsifier and health food?,"Harrison, P.",SLICE PUBLICATIONS LTD,2008
,39,Identification and metagenetic characterisation of Listeria monocytogenes-harbouring communities present in food-related industrial environments,"Rodríguez-López, Pedro; Bernárdez, Marta; Rodríguez-Herrera, Juan J.; Comesaña, Ángel S.; Cabo, Marta L.","Elsevier Science B.V., Amsterdam.",2019
,40,Food/activity combinations identified by FDA as low risk,unknown,AGRA INFORMA INC,2013
,41,"Parents' experiences of introducing toddlers to fruits and vegetables through repeated exposure, with and without prior visual familiarization to foods: Evidence from daily diaries","Houston-Price, Carmel; Owen, Laura H.; Kennedy, Orla B.; Hill, Claire","Elsevier Science B.V., Amsterdam.",2019
,42,SNACK FOODS: Snacking your way through Christmas,unknown,Reed Business,2011
,43,"Variety in the diets of free-living, food-secure adults","Wisdorf, Lauren E.; Redden, Joseph P.; Mann, Traci; Vickers, Zata M.","Elsevier Science B.V., Amsterdam.",2019
,44,Discrimination of meat from fur-producing and food-providing animals using mass spectrometry-based proteomics,"Qiu, Wenfeng; Zhang, Xiaomei; Zhang, Hongwei; Liang, Chengzhu; Xu, Jie; Gao, Hongwei; Ai, Lianfeng; Zhao, Sa; Wang, Yanan; Yang, Yi; Zhao, Xue","Elsevier Science B.V., Amsterdam.",2020
,45,Synergistic and antagonistic effect of lactic acid bacteria on tyramine production by food-borne pathogenic bacteria in tyrosine decarboxylase broth,"Kuley, E.; Ozogul, F.","Elsevier Science B.V., Amsterdam.",2011
,46,"Call for Papers: Salmonella in Foods: Evolution, Strategies and Challenges",unknown,"Elsevier Science B.V., Amsterdam.",2010
,47,Arsenic in various foods: Cumulative data,"Uneyama, C.; Toda, M.; Yamamoto, M.; Morikawa, K.",Taylor & Francis,2007
,48,Bioactive Encapsulated Powders for Functional Foods—a Review of Methods and Current Limitations,"Celli, G. B.; Ghanem, A.; Brooks, M. S.",Springer Science + Business Media,2015
,49,Tax on staple foods? Surely not,"Rich,  Katherine",PEPPERMINT PRESS LTD,2015
,50,In vitro antibacterial activities and mechanism of sugar fatty acid esters against five food-related bacteria,"Zhao, L.; Zhang, H.; Hao, T.; Li, S.","Elsevier Science B.V., Amsterdam.",2015
,51,Recent Developments in Molecular Detection of Food-Borne Disease Bacteria and GMOs,"Levin, R.E.",Taylor & Francis,2015
,52,QSPR analyses for aminograms in food: Citrus juices and concentrates,"Pomilio, A. B.; Giraudo, M. A.; Duchowicz, P. R.; Castro, E. A.","Elsevier Science B.V., Amsterdam.",2010
,53,Food-grade strategies to increase stability of whey protein particles: Particle hardening through aldehyde treatment,"Boeve, Jeroen; Joye, Iris J.","Elsevier Science B.V., Amsterdam.",2020
,54,A food-grade expression/secretion vector for Lactococcus lactis that uses an a-galactosidase gene as a selection marker,"Jeong, D. W.; Lee, J. H.; Kim, K. H.; Lee, H. J.","Elsevier Science B.V., Amsterdam",2006
,55,Furan in food: Headspace method and product survey,"Zoller, O.; Sager, F.; Reinhard, H.",Taylor & Francis,2007
,56,"Primary aromatic amines (PAAs) in black nylon and other food-contact materials, 2004-2009","Trier, X.; Okholm, B.; Foverskov, A.; Binderup, M. L.; Petersen, J. H.",Taylor & Francis,2010
,57,2006 Best Concept Award Winners Top quality food. Cutting-edge design. Innovative marketing programs. Outstanding customer service,unknown,PENTON MEDIA,2006
,58,Interlaboratory Proficiency Test Using MALDI-TOF MS for Identification of Food-Associated Bacteria,"Huber, Ingrid; Pavlovic, Melanie; Maggipinto, Marzena; Konrad, Regina; Busch, Ulrich",Springer Nature,2017
,59,Children’s selection of emojis to express food-elicited emotions in varied eating contexts,"Julia Sick, Sara Spinelli, Caterina Dinnella, Erminio Monteleone",Longman Scientific & Technical,2020
,60,"Macedovicin, the second food-grade lantibiotic produced by Streptococcus macedonicus ACA-DC 198","Georgalaki, M.; Papadimitriou, K.; Anastasiou, R.; Pot, B.; Van Driessche, G.; Devreese, B.; Tsakalidou, E.","Elsevier Science B.V., Amsterdam",2013
,61,Curation of food-relevant chemicals in ToxCast,"Karmaus, Agnes L.; Trautman, Thomas D.; Krishan, Mansi; Filer, Dayne L.; Fix, Laurel A.","Elsevier Science B.V., Amsterdam.",2017
,62,Natural contaminants in infant food: The case of regulated and emerging mycotoxins,"Braun, Dominik; Eiser, Maximilian; Puntscher, Hannes; Marko, Doris; Warth, Benedikt","Elsevier Science B.V., Amsterdam.",2021
,63,Colletotrichum sp.- mediated synthesis of sulphur and aluminium oxide nanoparticles and its in vitro activity against selected food-borne pathogens,"Suryavanshi, Pooja; Pandit, Raksha; Gade, Aniket; Derita, Marcos; Zachino, Susana; Rai, Mahendra","Elsevier Science B.V., Amsterdam",2017
,64,New study raises questions about bacteria on food-carrying pallets,unknown,AGRA INFORMA INC,2010
,65,Nutrient sensing: What can we learn from different tastes about the nutrient contents in today's foods?,"Martin, Christophe; Issanchou, Sylvie","Elsevier Science B.V., Amsterdam.",2019
,66,Acrylamide content of selected Spanish foods: Survey of biscuits and bread derivatives,"Rufian-Henares, J.; Arribas-Lorenzo, G.; Morales, F.",Taylor & Francis,2007
,67,"Dairy Products Research Centre, Moorepark: Butter - A New Health Food?",unknown,TARA PUBLISHING CO LTD,1999
,68,Risk assessment of food-contact materials: past experience and future challenges,"Barlow, S. M.",Taylor & Francis,2009
,69,Do food-related emotional associations differ with socio-economic status? An exploratory qualitative study with Brazilian consumers,"Fonseca, Vanessa Vasconcelos; Ares, Gastón; Deliza, Rosires","Elsevier Science B.V., Amsterdam.",2019
,70,"High pressure processing of food-grade emulsion systems: Antimicrobial activity, and effect on the physicochemical properties","Gharibzahedi, Seyed Mohammad Taghi; Hernández-Ortega, César; Welti-Chanes, Jorge; Putnik, Predrag; Barba, Francisco J.; Mallikarjunan, Kumar; Escobedo-Avellaneda, Zamantha; Roohinejad, Shahin","Elsevier Science B.V., Amsterdam.",2019
,71,Food-grade micro-encapsulation systems that may induce satiety via delayed lipolysis: A review,"Corstens, Meinou N.; Berton-Carabin, Claire C.; de Vries, Renko; Troost, Freddy J.; Masclee, Ad A. M.; Schroën, Karin",Taylor & Francis,2017
,72,Implicit and explicit evaluations of foods: The natural and transformed dimension,"Coricelli, Carol; Foroni, Francesco; Osimo, Sofia Adelaide; Rumiati, Raffaella Ida","Elsevier Science B.V., Amsterdam.",2019
,73,Glyphosate residues in Swiss market foods: monitoring and risk evaluation,"Zoller, Otmar; Rhyn, Peter; Rupp, Heinz; Zarn, Jürg A.; Geiser, Christoph",Taylor + Francis,2018
,74,Gels as Precursors of Porous Matrices for Use in Foods: a Review,"Cuadros, T. R.; Aguilera, J. M.",Springer Science + Business Media,2015
,75,Photoprotection of folic acid upon encapsulation in food-grade amaranth (Amaranthus hypochondriacus L.) protein isolate - Pullulan electrospun fibers,unknown,"Elsevier Science B.V., Amsterdam",2015
,76,"Domestically produced food: Consumer perceptions of origin, safety and the issue of trust","Lobb, A. E.; Mazzocchi, M.",Taylor & Francis,2007
,77,Fast-Casual Shifts Into High Gear Diners tired of on-the-road dining or investing time and money in white-tablecloth establishments have made fast-casual restaurants one of the fastest-growing food-service segments,unknown,WEEKS PUBLISHING CO.,2002
,78,Deep Fat Frying of Foods-Transport Phenomena,"Farinu, A.; Baik, O.-D.",MARCEL DEKKER JOURNALS,2005
,79,Food-borne diseases  The challenges of 20years ago still persist while new ones continue to emerge,"Newell, D. G.; Koopmans, M.; Verhoef, L.; Duizer, E.; Aidara-Kane, A.; Sprong, H.; Opsteegh, M.; Langelaar, M.; Threfall, J.; Scheutz, F.","Elsevier Science B.V., Amsterdam.",2010
,80,Improvements in the determination of vitamins in foods: method intercomparison studies and preparation of certified reference materials (CRMs),"Finglas, P. M.",00,1996
,81,Rapid Detection of Food-Borne Escherichia coli O157:H7 with Visual Inspection by Crossing Priming Amplification (CPA),"Xu, Zhenbo; Luo, Yuting; Soteyome, Thanapop; Lin, Chii-Wann; Xu, Xingyong; Mao, Yuzhu; Su, Jianyu; Liu, Junyan",Springer Nature,2019
,82,"Assessment of seasonality in exposure to dioxins, furans and dioxin-like PCBs by using long-term food-consumption data","Feinberg, M.; Soler, L.; Contenot, S.; Verger, P.",Taylor & Francis,2011
,83,Hydrophobically-modified silica aerogels: Novel food-contact surfaces with bacterial anti-adhesion properties,"Oh, Jun Kyun; Perez, Keila; Kohli, Nandita; Kara, Veli; Li, Jingyu; Min, Younjin; Castillo, Alejandro; Taylor, Matthew; Jayaraman, Arul; Cisneros-Zevallos, Luis; Akbulut, Mustafa","Elsevier Science B.V., Amsterdam.",2015
,84,Development of food-grade Pickering emulsions stabilized by a mixture of cellulose nanofibrils and nanochitin,"Lv, Shanshan; Zhou, Hualu; Bai, Long; Rojas, Orlando J.; McClements, David Julian","Elsevier Science B.V., Amsterdam.",2021
,85,Migration and sensory properties of plastics-based nets used as food-contacting materials under ambient and high temperature heating conditions,"Kontominas, M. G.; Goulas, A. E.; Badeka, A. V.; Nerantzaki, A.",TAYLOR & FRANCIS,2006
,86,Food-grade electrospinning of proteins,"Nieuwland, M.; Geerdink, P.; Brier, P.; van den Eijnden, P.; Henket, J. T. M. M.; Langelaan, M. L. P.; Stroeks, N.; van Deventer, H. C.; Martin, A. H.","Elsevier Science B.V., Amsterdam.",2013
,87,Development of Monoclonal Antibodies and Indirect Competitive Enzyme-Linked Immunosorbent Assay Kits for the Detection of Clenbuterol and Salbutamol in the Tissues and Products of Food-Producing Animals,"Peng, D.; Zhang, L.; Situ, C.; Pan, Y.; Tao, Y.; Wang, Y.; Yuan, Z.",Springer Science + Business Media,2017
,88,Sodium in different processed and packaged foods: Method validation and an estimative on the consumption,"Orlando, Eduardo Adilson; Rebellato, Ana Paula; Silva, Joyce Grazielle Siqueira; Andrade, Giovanna Castello; Pallone, Juliana Azevedo Lima","Elsevier Science B.V., Amsterdam.",2020
,89,Food-grade micro-encapsulation systems that may induce satiety via delayed lipolysis: A review,Meinou N. Corstens; Claire C. Berton-Carabin; Renko de Vries; Freddy J. Troost; Ad A. M. Masclee ; Karin Schroën,CRC Press,2017
,90,"Gelling properties of kefiran, a food-grade polysaccharide obtained from kefir grain","Piermaria, J. A.; de la Canal, M. L.; Abraham, A. G.","Elsevier Science B.V., Amsterdam.",2008
,91,"Correction: Food-grade monoglyceride oil foams: the effect of tempering on foamability, foam stability and rheological properties","Heymans, R.; Tavernier, I.; Danthine, S.; Rimaux, T.; VanderMeeren, P.; Dewettinck, K.",Royal Society of Chemistry,2018
,92,US FDA's revised consumption factor for polystyrene used in food-contact applications,"Cassidy, K.; Elyashiv-Barad, S.",Taylor & Francis,2007
,93,Innovative technologies for producing and preserving intermediate moisture foods: A review,"Qiu, Liqing; Zhang, Min; Tang, Juming; Adhikari, Benu; Cao, Ping","Elsevier Science B.V., Amsterdam.",2019
,94,Assessing the toxicity of polymeric food-contact substances,"Nelson, C. P.; Patton, G. W.; Arvidson, K.; Lee, H.; Twaroski, M. L.","Elsevier Science B.V., Amsterdam.",2011
,95,Food: Wealth Creation for New Zealand,unknown,SLICE PUBLICATIONS LTD,2006
,96,Normalising Convenience Food?,"Halkier, Bente",Taylor & Francis,2017
,97,Inactivation of food-borne viruses using natural biochemical substances,"Li, D.; Baert, L.; Uyttendaele, M.","Elsevier Science B.V., Amsterdam",2013
,98,European Union database of acrylamide levels in food: Update and critical review of data collection,"Wenzl, T.; Anklam, E.",Taylor & Francis,2007
,99,Contesting the meat–animal link and the visibility of animals killed for food: a focus group study in Finland,"Kupsala, Saara",Taylor & Francis,2018
,100,Instrumental mastication assay for texture assessment of semi-solid foods: Combined cyclic squeezing flow and shear viscometry,"Chung, C.; Degner, B.; McClements, D. J.","Elsevier Science B.V., Amsterdam.",2012
,1,"Fast Food: The Good, the Bad and the Hungry","Miller, Jeffrey P.",Taylor & Francis,2017
,2,Likelihood of buying healthy convenience food: An at-home testing procedure for ready-to-heat meals,"Olsen, N. V.; Menichelli, E.; Sorheim, O.; Naes, T.","Elsevier Science B.V., Amsterdam.",2012
,3,Ethyl oleate food-grade O/W emulsions loaded with apigenin: Insights to their formulation characteristics and physico-chemical stability,"Abcha, Imen; Souilem, Safa; Neves, Marcos A.; Wang, Zheng; Nefatti, Mohamed; Isoda, Hiroko; Nakajima, Mitsutoshi","Elsevier Science B.V., Amsterdam.",2019
,4,Performance assessment of proton-transfer-reaction time-of-flight mass spectrometry (PTR-TOF-MS) for analysis of isobaric compounds in food-flavour applications,"Zardin, E.; Tyapkova, O.; Buettner, A.; Beauchamp, J.","Elsevier Science B.V., Amsterdam",2014
,5,Pyrrolizidine alkaloids in food: a spectrum of potential health consequences,"Edgar, J. A.; Colegate, S. M.; Boppre, M.; Molyneux, R. J.",Taylor & Francis,2011
,6,Determination of pantothenic acid in foods: influence of the extraction method,"Gonthier, A.",ELSEVIER APPLIED SCIENCE,1998
,7,Risk Benefit Assessment of foods: Key findings from an international workshop,"Pires, Sara M.; Boué, Géraldine; Boobis, Alan; Eneroth, Hanna; Hoekstra, Jeljer; Membré, Jeanne-Marie; Persson, Inez Maria; Poulsen, Morten; Ruzante, Juliana; van Klaveren, Jacob; Thomsen, Sofie T.; Nauta, Maarten J.","Elsevier Science B.V., Amsterdam.",2019
,8,A Traditional Turkish Fermented Cereal Food: Tarhana,"Ozdemir, S.; Gocmen, D.; Kumral, A. Y.",Taylor & Francis,2007
,9,"Antimicrobial activity of select edible plants from Odisha, India against food-borne pathogens","Panda, Sujogya Kumar; Mohanta, Yugal Kishore; Padhi, Laxmipriya; Luyten, Walter","Elsevier Science B.V., Amsterdam",2019
,10,Preparation and characterization of microencapsulated phytosterols for the formulation of functional foods: Scale up from laboratory to semi-technical production,"Tolve, Roberta; Condelli, Nicola; Caruso, Marisa Carmela; Genovese, Francesco; Di Renzo, Giovanni Carlo; Mauriello, Gianluigi; Galgano, Fernanda","Elsevier Science B.V., Amsterdam.",2019
,11,Methods for the analysis of melamine and related compounds in foods: a review,"Tittlemier, S. A.",Taylor & Francis,2010
,12,"Special issue on ""Virtual reality and food: Applications in sensory and consumer science""","Ares, Gastón","Elsevier Science B.V., Amsterdam.",2019
,13,Novel approach to control sulfamethazine misuse in food-producing animals by hair analysis,"Gratacos-Cubarsi, M.; Castellari, M.; Valero, A.; Diaz, I.; Garcia-Regueiro, J. A.",TAYLOR & FRANCIS,2006
,14,"Identification of a novel food-derived collagen peptide, hydroxyprolyl-glycine, in human peripheral blood by pre-column derivatisation with phenyl isothiocyanate","Shigemura, Y.; Akaba, S.; Kawashima, E.; Park, E. Y.; Nakamura, Y.; Sato, K.","Elsevier Science B.V., Amsterdam.",2011
,15,Oral processing behavior and dynamic sensory perception of composite foods: Toppings assist saliva in bolus formation,"van Eck, Arianne; Hardeman, Niels; Karatza, Niki; Fogliano, Vincenzo; Scholten, Elke; Stieger, Markus","Elsevier Science B.V., Amsterdam.",2019
,16,Determination of histamine and histamine-forming bacteria in tuna dumpling implicated in a food-borne poisoning,"Chen, H. C.; Kung, H. F.; Chen, W. C.; Lin, W. F.; Hwang, D. F.; Lee, Y. C.; Tsai, Y. H.","Elsevier Science B.V., Amsterdam.",2008
,17,Enrichment of polyphenol contents and antioxidant activities of Irish brown macroalgae using food-friendly techniques based on polarity and molecular size,"Tierney, M. S.; Smyth, T. J.; Rai, D. K.; Soler-Vila, A.; Croft, A. K.; Brunton, N.","Elsevier Science B.V., Amsterdam.",2013
,18,Residue levels of food-grade antioxidants in postharvest treated in-pod peanuts during five months of storage,"Passone, M. A.; Funes, G. J.; Resnik, S. L.; Etcheverry, M. G.","Elsevier Science B.V., Amsterdam.",2008
